🗼港澳台,#genre#
金庸武侠系列,http://txtest-xp2p.p2p.huya.com/src/1394575551-1394575551-5989656383346180096-2789274558-10057-A-0-1.xs
金马影院,http://hpull.kktv8.com/livekktv/128600025/playlist.m3u8




🗽南充,#genre#
南充新闻,http://tv.drs.ncntv.com.cn:8100/channellive/nczhpd.flv?zsicd
南充科教,http://tv.drs.ncntv.com.cn:8100/channellive/nckjpd.flv
乐山公共,http://channellive.leshantv.net/live/ch2.flv?zsicd

🐅🌺少儿,#genre#
14台少儿,http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221225784/1.m3u8?zyangd
14台少儿,http://123.6.9.146/live/jz-cctv-14/live.m3u8?zyangd
浙江少儿,http://hw-m-l.cztv.com/channels/lantian/channel008/1080p.m3u8?zzhed
浙江少儿,http://hw-m-l.cztv.com/channels/lantian/channel08/720p.m3u8?zzhed
浙江少儿,http://hw-m-l.cztv.com/channels/lantian/channel08/360p.m3u8?zzhed


💝4K台,#genre#

爱上4k,http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226352/1.m3u8
欢笑剧场4k,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226582/index.m3u8
苏州4k,http://liveshowbak2.kan0512.com/ksz-norecord/csztv4k_4k.m3u8

纯享4K,http://39.134.115.163:8080/PLTV/88888910/224/3221225786/index.m3u8
爱自然,https://d18dyiwu97wm6q.cloudfront.net/playlist2160p.m3u8
